id,"name",category,"abbreviation"
1,"Predicting",1,NULL
2,"Visualizing",1,NULL
3,"Summarizing",1,NULL
4,"Main Idea",1,NULL
5,"Character Traits",1,NULL
6,"Genre",1,NULL
7,"Theme",2,NULL
8,"Inferring",2,NULL
9,"Symbolism ",7,NULL
10,"Previewing Text",2,NULL
11,"Asking and Answering One's Own Questions",2,"Ask and Answer"
12,"Figurative Language",2,NULL
13,"Vocabulary",2,NULL
14,"Author's Purpose",2,NULL
15,"Mood",3,NULL
16,"Identifying Dialect",3,NULL
17,"Comparing and Contrasting Nonfiction",3,"Compare/Contrast NF"
18,"Comparing and Contrasting Fiction",3,"Compare/Contrast F"
19,"Synthesizing",3,NULL
20,"Close Reading",3,NULL
21,"Alliteration",7,NULL
22,"Allusion",NULL,NULL
23,"Anthropomorphism",NULL,NULL
24,"Archetype",NULL,NULL
25,"Assonance",NULL,NULL
26,"Character Identification",NULL,NULL
27,"Comparison",NULL,NULL
28,"Conflict",NULL,NULL
29,"Counterargument",NULL,NULL
30,"Dialogue",NULL,NULL
31,"Ellipses",NULL,NULL
32,"Homographs",5,NULL
33,"Homophone",5,NULL
34,"Hyperbole",7,NULL
36,"Idiom",7,NULL
37,"Imagery",7,NULL
38,"Irony",NULL,NULL
39,"Italics",NULL,NULL
40,"Metaphor",7,NULL
41,"Onomatopoeia",7,NULL
42,"Parts of Speech",NULL,NULL
43,"Personification",7,NULL
44,"Pun",NULL,NULL
45,"Punctuation",NULL,NULL
46,"Repetition",NULL,NULL
47,"Rhetorical Question",NULL,NULL
48,"Rhyme",NULL,NULL
49,"Sequencing",NULL,NULL
50,"Setting",NULL,NULL
51,"Simile",7,NULL
52,"Suspense",NULL,NULL
53,"Synecdoche",7,NULL
54,"Synonyms",4,NULL
55,"Antonyms",4,NULL
56,"Homonyms",5,NULL
57,"Other Commonly Confused Words",5,"Confused Wds"
58,"Suffixes",6,NULL
59,"Prefixes",6,NULL
60,"Root words",6,NULL
61,"Roots",6,NULL
62,"Oxymoron",7,NULL
63,"Metonymy",7,NULL
64,"Dialect",7,NULL
65,"Connotation (Shades)",8,"Shades"
66,"Connotation (Mood)",8,"Mood"
67,"Connotation (Tone)",8,"Tone"
68,"Text Structure",NULL,NULL
69,"Point of View",NULL,NULL
70,"Identifying Bias",NULL,NULL
71,"Nouns",NULL,NULL
72,"Capitalization",NULL,NULL
73,"Collective Noun",NULL,NULL
74,"Grammatical Sentence",NULL,NULL
75,"Pronouns",NULL,NULL
76,"Sentences - Nouns",NULL,NULL
77,"Sentences - Pronouns",NULL,NULL
78,"Sentences - Verbs",NULL,NULL
79,"Verbs",NULL,NULL
80,"Irregular Past Tense Verbs",NULL,NULL
81,"Regular Past Tense Verbs",NULL,NULL
82,"Sentences",NULL,NULL
84,"Plural S Nouns",NULL,NULL
85,"Plural ES Nouns",NULL,NULL
86,"Plural Exceptions",NULL,NULL
87,"Singular/Plural Nouns in Sentences",NULL,NULL
88,"Pronouns in Sentences",NULL,NULL
89,"Regular/Irregular Past Tense Verbs",NULL,NULL
90,"Present/Past Tense Verbs in Sentences",NULL,NULL
91,"Present/Past/Future Tense Verbs in Sentences",NULL,NULL
92,"Verb Tense Usage in Sentences",NULL,NULL
93,"Sentence Syntax",NULL,NULL
94,"Sentence Structure",NULL,NULL
95,"Word Parts 1",NULL,NULL
96,"Word Parts 2",NULL,NULL
97,"Root Words Decompose",NULL,NULL
98,"Root Words Matching",NULL,NULL
99,"Prefix Decomposition",NULL,NULL
100,"Prefix Meaning",NULL,NULL
101,"Suffix Decomposition",NULL,NULL
103,"Morphology Word Formation",NULL,NULL
104,"Prefix Meaning in Sentences",NULL,NULL
105,"Suffix Meaning in Sentences",NULL,NULL
106,"Inflections and Derivations in Sentences",NULL,NULL
107,"Meaning: Synonyms",NULL,NULL
108,"Meaning: Antonyms",NULL,NULL
109,"Comparatives/Superlatives",NULL,NULL
110,"Comparatives/Superlatives in Sentences",NULL,NULL
111,"Algebra I",NULL,NULL
